* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec 10 2020 17:24:17

* File Generated:     Oct 30 2021 22:22:27

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, BG121

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, SRAM_ADDR[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
H7, PIO, not used, , , , , , bottomBank
H8, VCC, not used, , , , , , UnknownBank
H9, PIO, not used, , , , , , bottomBank
H10, PIO, not used, , , , , , rightBank
H11, PIO, not used, , , , , , rightBank
J1, PIO, SRAM_ADDR[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J2, PIO, SRAM_OE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J3, PIO, not used, , , , , , bottomBank
J4, PIO, not used, , , , , , bottomBank
J5, PIO, not used, , , , , , bottomBank
J6, AVDD_BOT, not used, , , , , , UnknownBank
J7, PIO, not used, , , , , , bottomBank
J8, PIO, not used, , , , , , bottomBank
J9, SPI_SI, FLASH_SDO, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
K1, PIO, DIS_SCK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K2, PIO, DIS_RES, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K3, PIO, not used, , , , , , bottomBank
K4, PIO, not used, , , , , , bottomBank
K5, PIO, not used, , , , , , bottomBank
K6, PIO_GBIN, not used, , , , , , bottomBank
K7, PIO, TX, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
K8, CDONE, not used, , , , , , bottomBank
K9, SPI_SO, FLASH_SDI, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
K10, SPI_SS_B, FLASH_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
K11, PIO, not used, , , , , , rightBank
L1, PIO, DIS_SDI, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
L2, PIO, DIS_DC, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
L3, PIO, DIS_CS, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
L4, PIO, not used, , , , , , bottomBank
L5, PIO_GBIN, not used, , , , , , bottomBank
L6, AGND_BOT, not used, , , , , , UnknownBank
L7, PIO, RX, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
L8, PIO, not used, , , , , , bottomBank
L9, CRESET_B, not used, , , , , , bottomBank
L10, SPI_SCK, FLASH_SCK, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
L11, VDDIO_SPI, not used, , , , , , bottomBank
Total Number of Used Pins, 49
